MR,H4,H27,u0_R,u0_NR,u0_M,u0_MR,u0_H4,u0_KDM5A,u0_H0,u0_PRC2,u0_H27,u0_KDM6A,u0_KMT
498.355,43.538,0.001,48.0,500.0,498.0,2.0,33.15635927381833,91.0,2.910187081209475,82.0,13.933453644972193,0.0,48.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,23.32520718170869,77.0,9.97023767514024,83.0,16.70455514315107,27.0,36.0
498.355,43.538,0.001,8.0,500.0,458.0,42.0,25.081057811004584,73.0,1.7163834289584812,78.0,23.202558760036936,31.0,56.0
498.355,43.538,0.001,1.0,500.0,451.0,49.0,34.10143014716178,6.0,7.388966436101554,54.0,8.509603416736674,88.0,48.0
498.355,43.538,0.001,43.0,500.0,493.0,7.0,28.816207019616392,16.0,2.5418853322627086,51.0,18.6419076481209,93.0,75.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,27.78537019947544,71.0,9.302977680412672,23.0,12.91165212011189,66.0,53.0
498.355,43.538,0.001,35.0,500.0,485.0,15.0,30.45050951878685,34.0,16.72155708384239,47.0,2.8279333973707605,67.0,85.0
498.355,43.538,0.001,39.0,500.0,489.0,11.0,5.466340182388791,7.0,21.96238850107058,15.0,22.571271316540628,96.0,58.0
498.355,43.538,0.001,16.0,500.0,466.0,34.0,7.7399978255803505,44.0,23.753711267853376,12.0,18.50629090656627,19.0,100.0
498.355,43.538,0.001,45.0,500.0,495.0,5.0,30.661339441806565,3.0,11.365981919412588,11.0,7.9726786387808435,60.0,24.0
498.355,43.538,0.001,21.0,500.0,471.0,29.0,2.5592121004348183,30.0,35.94476135369801,39.0,11.49602654586717,53.0,3.0
498.355,43.538,0.001,9.0,500.0,459.0,41.0,17.644356024407617,25.0,21.102907345674918,57.0,11.252736629917463,77.0,21.0
498.355,43.538,0.001,29.0,500.0,479.0,21.0,10.961758442557057,57.0,19.26617584135683,28.0,19.77206571608611,38.0,66.0
498.355,43.538,0.001,8.0,500.0,458.0,42.0,14.38814952892971,19.0,16.074757564108047,84.0,19.537092906962243,37.0,44.0
